17/03/2025 17:19:50 | sucesso | Aplicação iniciada às 17:19:50
17/03/2025 17:19:52 | sucesso | Token GHL Validado
17/03/2025 17:19:52 | sucesso | Tempo convertido para timestamp
17/03/2025 17:19:52 | sucesso | Lista de reuniões coletada
17/03/2025 17:19:52 | sucesso | Encontradas 97 reuniões
17/03/2025 17:19:52 | regular | Buscando Oportunidades...
17/03/2025 17:20:42 | sucesso | Localizados todos os agendamentos Salvos na planilha
17/03/2025 17:20:42 | regular | Separando as reuniões...
17/03/2025 17:20:42 | regular | Não serão modificadas 74 reuniões
17/03/2025 17:20:42 | regular | Serão adicionadas 19 reuniões
17/03/2025 17:20:43 | sucesso | Reuniões adicionadas!
17/03/2025 17:20:43 | regular | Serão atualizadas 4 reuniões
17/03/2025 17:20:45 | sucesso | Reuniões atualizadas!
17/03/2025 17:20:45 | sucesso | Aplicação finalizada com êxito
17/03/2025 17:20:45 | regular | Duração da execução: 0:00:55.658333
18/03/2025 07:17:00 | erro | Ocorreu um erro inesperado: list indices must be integers or slices, not str
18/03/2025 07:30:32 | erro | Erro HTTP: 520 Server Error:  for url: https://services.leadconnectorhq.com/opportunities/search?location_id=XFuL1RK1hhJf7b7Zg0ah&limit=100
18/03/2025 07:39:43 | erro | Ocorreu um erro inesperado: unsupported operand type(s) for -: 'str' and 'datetime.timedelta'
18/03/2025 07:40:16 | erro | Ocorreu um erro inesperado: unsupported operand type(s) for -: 'str' and 'datetime.timedelta'
18/03/2025 07:40:32 | erro | Ocorreu um erro inesperado: unsupported operand type(s) for -: 'str' and 'datetime.timedelta'
18/03/2025 07:40:47 | erro | Ocorreu um erro inesperado: unsupported operand type(s) for -: 'str' and 'datetime.timedelta'
18/03/2025 07:40:51 | erro | Ocorreu um erro inesperado: unsupported operand type(s) for -: 'str' and 'datetime.timedelta'
18/03/2025 07:42:22 | erro | Erro HTTP: 422 Client Error: Unprocessable Entity for url: https://services.leadconnectorhq.com/opportunities/search?location_id=XFuL1RK1hhJf7b7Zg0ah&limit=100&date2025-03-08%2007:42:22.488484
18/03/2025 07:42:37 | erro | Erro HTTP: 422 Client Error: Unprocessable Entity for url: https://services.leadconnectorhq.com/opportunities/search?location_id=XFuL1RK1hhJf7b7Zg0ah&limit=100&date03-08-2025
18/03/2025 07:45:25 | erro | Ocorreu um erro inesperado: diasAntes() missing 1 required positional argument: 'n'
18/03/2025 07:47:08 | erro | Ocorreu um erro inesperado: name 'ops' is not defined
18/03/2025 08:13:19 | erro | Ocorreu um erro inesperado: 'customFiels'
18/03/2025 08:20:30 | erro | Ocorreu um erro inesperado: 'customFiels'
18/03/2025 08:20:59 | erro | Ocorreu um erro inesperado: 'customFiels'
18/03/2025 08:21:17 | erro | Ocorreu um erro inesperado: 'customFiels'
18/03/2025 08:21:41 | erro | Ocorreu um erro inesperado: 'fieldValueStrig'
18/03/2025 08:22:24 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:22:49 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:25:35 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:26:28 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:26:42 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:27:37 | erro | Ocorreu um erro inesperado: 'fieldValueString'
18/03/2025 08:32:48 | erro | Ocorreu um erro inesperado: cannot access local variable 'closer' where it is not associated with a value
18/03/2025 08:33:58 | erro | Ocorreu um erro inesperado: cannot access local variable 'closer' where it is not associated with a value
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
18/03/2025 09:53:35 | erro | Nenhuma reunião para atualizar.
